Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max
0,COUNT_UP,6.379797,589.808235,289.21,0.000000000,0.000000000,0.0000,0.530680,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
1,COUNT_UP,6.274197,530.700112,292.81,0.000000000,0.000000000,0.0000,0.524812,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
2,COUNT_UP,6.225049,505.247809,293.11,0.000000000,0.000000000,0.0000,0.482047,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
3,COUNT_UP,6.100242,445.965742,293.12,0.000000000,0.000000000,0.0000,0.508837,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
4,COUNT_UP,6.001582,404.067582,293.11,0.000000000,0.000000000,0.0000,0.505244,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
5,COUNT_UP,5.908225,368.052129,293.12,0.000000000,0.000000000,0.0000,0.518853,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
6,COUNT_UP,5.851986,347.924649,293.11,0.000000000,0.000000000,0.0000,0.524322,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
7,COUNT_UP,5.772235,321.255062,293.13,0.000000000,0.000000000,0.0000,0.478430,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
8,COUNT_UP,5.646543,283.310239,293.11,0.000000000,0.000000000,0.0000,0.617342,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
9,COUNT_UP,5.588089,267.224590,293.13,0.000000000,0.000000000,0.0000,0.548681,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
10,COUNT_UP,5.487264,241.595220,293.11,0.000000000,0.000000000,0.0000,0.507650,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
11,COUNT_UP,5.457245,234.450704,293.13,0.000000000,0.000000000,0.0000,0.515735,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
12,COUNT_UP,5.361490,213.042196,293.11,0.000000000,0.000000000,0.0000,0.500020,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
13,COUNT_UP,5.250615,190.683435,293.13,0.000000000,0.000000000,0.0000,0.533228,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
14,COUNT_UP,5.168234,175.604507,293.11,0.000000000,0.000000000,0.0000,0.508533,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
15,COUNT_UP,5.074949,159.964000,293.13,0.000000000,0.000000000,0.0000,0.509095,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
16,COUNT_UP,4.975426,144.810530,293.12,0.000000000,0.000000000,0.0000,0.529668,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
17,COUNT_UP,4.865691,129.760534,293.13,0.000000000,0.000000000,0.0000,0.574738,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
18,COUNT_UP,4.794999,120.904218,293.12,0.000000000,0.000000000,0.0000,0.580531,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
19,COUNT_UP,4.671248,106.831031,293.13,0.000000000,0.000000000,0.0000,0.657048,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
20,COUNT_UP,4.579894,97.504065,293.12,0.000000000,0.000000000,0.0000,0.572204,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
21,COUNT_UP,4.456764,86.208066,293.13,0.000000000,0.000000000,0.0000,0.562169,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
22,COUNT_UP,4.376484,79.557809,293.12,0.000000000,0.000000000,0.0000,0.575219,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
23,COUNT_UP,4.289237,72.910853,293.13,0.000000000,0.000000000,0.0000,0.586859,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
24,COUNT_UP,4.109502,60.916364,293.12,0.000000000,0.000000000,0.0000,0.610019,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
25,COUNT_UP,4.064554,58.238941,293.13,0.000000000,0.000000000,0.0000,0.609638,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
26,COUNT_UP,3.830974,46.107430,293.12,0.000000000,0.000000000,0.0000,0.753300,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
