Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_UP,6.385489,593.174999,288.22,0.000000000,0.000000000,0.0000,0.551137,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
1,COUNT_UP,6.273549,530.356319,293.75,0.000000000,0.000000000,0.0000,0.521586,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
2,COUNT_UP,6.192945,489.284932,294.05,0.000000000,0.000000000,0.0000,0.554444,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
3,COUNT_UP,6.109602,450.159505,294.06,0.000000000,0.000000000,0.0000,0.550032,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
4,COUNT_UP,6.024498,413.433843,294.05,0.000000000,0.000000000,0.0000,0.507668,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
5,COUNT_UP,5.907911,367.936843,294.07,0.000000000,0.000000000,0.0000,0.540952,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
6,COUNT_UP,5.843900,345.122768,294.05,0.000000000,0.000000000,0.0000,0.493647,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
7,COUNT_UP,5.770857,320.812658,294.07,0.000000000,0.000000000,0.0000,0.489833,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
8,COUNT_UP,5.634983,280.054174,294.05,0.000000000,0.000000000,0.0000,0.530700,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
9,COUNT_UP,5.560491,259.950463,294.07,0.000000000,0.000000000,0.0000,0.527808,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
10,COUNT_UP,5.503906,245.649512,294.05,0.000000000,0.000000000,0.0000,0.501034,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
11,COUNT_UP,5.375712,216.093762,294.07,0.000000000,0.000000000,0.0000,0.567866,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
12,COUNT_UP,5.321002,204.588876,294.05,0.000000000,0.000000000,0.0000,0.543895,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
13,COUNT_UP,5.236954,188.096328,294.07,0.000000000,0.000000000,0.0000,0.518519,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
14,COUNT_UP,5.159771,174.124654,294.05,0.000000000,0.000000000,0.0000,0.536076,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
15,COUNT_UP,5.014019,150.508489,294.07,0.000000000,0.000000000,0.0000,0.542838,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
16,COUNT_UP,4.978018,145.186378,294.05,0.000000000,0.000000000,0.0000,0.552264,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
17,COUNT_UP,4.815057,123.353878,294.07,0.000000000,0.000000000,0.0000,0.594792,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
18,COUNT_UP,4.749512,115.527916,294.06,0.000000000,0.000000000,0.0000,0.581556,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
19,COUNT_UP,4.620079,101.502006,294.07,0.000000000,0.000000000,0.0000,0.576499,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
20,COUNT_UP,4.594208,98.909745,294.06,0.000000000,0.000000000,0.0000,0.592795,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
21,COUNT_UP,4.432710,84.159154,294.08,0.000000000,0.000000000,0.0000,0.581257,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
22,COUNT_UP,4.337152,76.489351,294.06,0.000000000,0.000000000,0.0000,0.583136,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
23,COUNT_UP,4.193446,66.250677,294.08,0.000000000,0.000000000,0.0000,0.638500,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
24,COUNT_UP,4.056169,57.752638,294.06,0.000000000,0.000000000,0.0000,0.724387,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
25,COUNT_UP,3.999151,54.551828,294.08,0.000000000,0.000000000,0.0000,0.681184,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
26,COUNT_UP,3.897177,49.263170,294.06,0.000000000,0.000000000,0.0000,0.666779,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
27,COUNT_UP,3.759899,42.944094,294.08,0.000000000,0.000000000,0.0000,0.701553,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
28,COUNT_UP,3.637064,37.980153,294.06,0.000000000,0.000000000,0.0000,0.706157,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
29,COUNT_UP,3.560052,35.165040,294.08,0.000000000,0.000000000,0.0000,0.721265,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
30,COUNT_UP,3.386134,29.551475,294.06,0.000000000,0.000000000,0.0000,0.655431,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
31,COUNT_UP,3.198822,24.503660,294.08,0.000000000,0.000000000,0.0000,0.728147,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
32,COUNT_UP,3.154336,23.437474,294.06,0.000000000,0.000000000,0.0000,0.674771,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
33,COUNT_UP,2.987891,19.843787,294.08,0.000000000,0.000000000,0.0000,0.727684,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
34,COUNT_UP,2.778625,16.096877,294.06,0.000000000,0.000000000,0.0000,0.752993,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
35,COUNT_UP,2.628064,13.846932,294.08,0.000000000,0.000000000,0.0000,0.731781,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
36,COUNT_UP,2.488969,12.048848,294.06,0.000000000,0.000000000,0.0000,0.735160,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
37,COUNT_UP,2.297707,9.951334,294.08,0.000000000,0.000000000,0.0000,0.708925,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
38,COUNT_UP,2.276723,9.744696,294.06,0.000000000,0.000000000,0.0000,0.705469,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
39,COUNT_UP,2.091423,8.096430,294.08,0.000000000,0.000000000,0.0000,0.703176,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
40,COUNT_UP,1.892295,6.634580,294.06,0.000000000,0.000000000,0.0000,0.707995,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
41,COUNT_UP,1.791811,6.000307,294.08,0.000000000,0.000000000,0.0000,0.713029,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
